bit_position,zeros_count,ones_count,majority,stability
264,38,2,0,0.95
265,40,0,0,1.0
266,40,0,0,1.0
267,40,0,0,1.0
268,40,0,0,1.0
269,40,0,0,1.0
270,40,0,0,1.0
271,40,0,0,1.0
272,1,39,1,0.975
273,40,0,0,1.0
274,21,19,0,0.525
275,0,40,1,1.0
276,0,40,1,1.0
277,40,0,0,1.0
278,40,0,0,1.0
279,0,40,1,1.0
280,37,3,0,0.925
281,0,40,1,1.0
282,0,40,1,1.0
283,40,0,0,1.0
284,1,39,1,0.975
285,38,2,0,0.95
286,0,40,1,1.0
287,40,0,0,1.0
288,36,4,0,0.9
289,37,3,0,0.925
290,40,0,0,1.0
291,0,40,1,1.0
292,40,0,0,1.0
293,40,0,0,1.0
294,0,40,1,1.0
295,0,40,1,1.0
296,40,0,0,1.0
297,0,40,1,1.0
298,40,0,0,1.0
299,0,40,1,1.0
300,0,40,1,1.0
301,0,40,1,1.0
302,0,40,1,1.0
303,33,7,0,0.825
304,0,40,1,1.0
305,40,0,0,1.0
306,40,0,0,1.0
307,40,0,0,1.0
308,24,16,0,0.6
309,40,0,0,1.0
310,0,40,1,1.0
311,40,0,0,1.0
312,40,0,0,1.0
313,0,40,1,1.0
314,1,39,1,0.975
315,39,1,0,0.975
316,0,40,1,1.0
317,0,40,1,1.0
318,9,31,1,0.775
319,0,40,1,1.0
320,1,39,1,0.975
321,40,0,0,1.0
322,0,40,1,1.0
323,40,0,0,1.0
324,0,40,1,1.0
325,0,40,1,1.0
326,2,38,1,0.95
327,40,0,0,1.0
328,40,0,0,1.0
329,0,40,1,1.0
330,40,0,0,1.0
331,40,0,0,1.0
332,39,1,0,0.975
333,2,38,1,0.95
334,0,40,1,1.0
335,2,38,1,0.95
336,40,0,0,1.0
337,40,0,0,1.0
338,40,0,0,1.0
339,0,40,1,1.0
340,15,25,1,0.625
341,23,17,0,0.575
342,40,0,0,1.0
343,14,26,1,0.65
344,40,0,0,1.0
345,0,40,1,1.0
346,40,0,0,1.0
347,40,0,0,1.0
348,39,1,0,0.975
349,1,39,1,0.975
350,40,0,0,1.0
351,38,2,0,0.95
352,40,0,0,1.0
353,40,0,0,1.0
354,40,0,0,1.0
355,39,1,0,0.975
356,4,36,1,0.9
357,39,1,0,0.975
358,0,40,1,1.0
359,38,2,0,0.95
360,40,0,0,1.0
361,40,0,0,1.0
362,40,0,0,1.0
363,13,27,1,0.675
364,40,0,0,1.0
365,1,39,1,0.975
366,40,0,0,1.0
367,39,1,0,0.975
368,0,40,1,1.0
369,40,0,0,1.0
370,0,40,1,1.0
371,39,1,0,0.975
372,40,0,0,1.0
373,40,0,0,1.0
374,0,40,1,1.0
375,0,40,1,1.0
376,1,39,1,0.975
377,40,0,0,1.0
378,40,0,0,1.0
379,0,40,1,1.0
380,40,0,0,1.0
381,0,40,1,1.0
382,0,40,1,1.0
383,0,40,1,1.0
384,40,0,0,1.0
385,0,40,1,1.0
386,40,0,0,1.0
387,40,0,0,1.0
388,0,40,1,1.0
389,0,40,1,1.0
390,0,40,1,1.0
391,40,0,0,1.0
392,0,40,1,1.0
393,40,0,0,1.0
394,40,0,0,1.0
395,40,0,0,1.0
396,40,0,0,1.0
397,40,0,0,1.0
398,0,40,1,1.0
399,30,10,0,0.75
400,40,0,0,1.0
401,40,0,0,1.0
402,0,40,1,1.0
403,40,0,0,1.0
404,40,0,0,1.0
405,3,37,1,0.925
406,40,0,0,1.0
407,40,0,0,1.0
408,40,0,0,1.0
409,0,40,1,1.0
410,40,0,0,1.0
411,40,0,0,1.0
412,0,40,1,1.0
413,0,40,1,1.0
414,40,0,0,1.0
415,40,0,0,1.0
416,37,3,0,0.925
417,0,40,1,1.0
418,40,0,0,1.0
419,10,30,1,0.75
420,40,0,0,1.0
421,0,40,1,1.0
422,0,40,1,1.0
423,40,0,0,1.0
424,34,6,0,0.85
425,1,39,1,0.975
426,40,0,0,1.0
427,1,39,1,0.975
428,34,6,0,0.85
429,4,36,1,0.9
430,0,40,1,1.0
431,0,40,1,1.0
432,40,0,0,1.0
433,40,0,0,1.0
434,19,21,1,0.525
435,0,40,1,1.0
436,40,0,0,1.0
437,7,33,1,0.825
438,39,1,0,0.975
439,40,0,0,1.0
440,0,40,1,1.0
441,40,0,0,1.0
442,0,40,1,1.0
443,0,40,1,1.0
444,39,1,0,0.975
445,1,39,1,0.975
446,37,3,0,0.925
447,0,40,1,1.0
448,39,1,0,0.975
449,0,40,1,1.0
450,40,0,0,1.0
451,0,40,1,1.0
452,40,0,0,1.0
453,40,0,0,1.0
454,40,0,0,1.0
455,38,2,0,0.95
456,40,0,0,1.0
457,0,40,1,1.0
458,40,0,0,1.0
459,0,40,1,1.0
460,40,0,0,1.0
461,0,40,1,1.0
462,2,38,1,0.95
463,32,8,0,0.8
464,0,40,1,1.0
465,26,14,0,0.65
466,38,2,0,0.95
467,40,0,0,1.0
468,40,0,0,1.0
469,0,40,1,1.0
470,1,39,1,0.975
471,0,40,1,1.0
472,0,40,1,1.0
473,40,0,0,1.0
474,36,4,0,0.9
475,40,0,0,1.0
476,1,39,1,0.975
477,1,39,1,0.975
478,40,0,0,1.0
479,25,15,0,0.625
480,25,15,0,0.625
481,0,40,1,1.0
482,35,5,0,0.875
483,0,40,1,1.0
484,0,40,1,1.0
485,0,40,1,1.0
486,0,40,1,1.0
487,1,39,1,0.975
488,5,35,1,0.875
489,40,0,0,1.0
490,40,0,0,1.0
491,16,24,1,0.6
492,40,0,0,1.0
493,40,0,0,1.0
494,0,40,1,1.0
495,25,15,0,0.625
496,40,0,0,1.0
497,0,40,1,1.0
498,0,40,1,1.0
499,40,0,0,1.0
500,3,37,1,0.925
501,0,40,1,1.0
502,0,40,1,1.0
503,0,40,1,1.0
504,37,3,0,0.925
505,0,40,1,1.0
506,0,40,1,1.0
507,0,40,1,1.0
508,38,2,0,0.95
509,40,0,0,1.0
510,16,24,1,0.6
511,0,40,1,1.0
512,40,0,0,1.0
513,0,40,1,1.0
514,40,0,0,1.0
515,0,40,1,1.0
516,0,40,1,1.0
517,0,40,1,1.0
518,0,40,1,1.0
519,40,0,0,1.0
520,0,40,1,1.0
521,0,40,1,1.0
522,0,40,1,1.0
523,2,38,1,0.95
524,32,8,0,0.8
525,40,0,0,1.0
526,0,40,1,1.0
527,0,40,1,1.0
528,0,40,1,1.0
529,40,0,0,1.0
530,0,40,1,1.0
531,0,40,1,1.0
532,40,0,0,1.0
533,0,40,1,1.0
534,40,0,0,1.0
535,0,40,1,1.0
536,40,0,0,1.0
537,40,0,0,1.0
538,38,2,0,0.95
539,0,40,1,1.0
540,0,40,1,1.0
541,1,39,1,0.975
542,0,40,1,1.0
543,40,0,0,1.0
544,40,0,0,1.0
545,0,40,1,1.0
546,40,0,0,1.0
547,38,2,0,0.95
548,40,0,0,1.0
549,2,38,1,0.95
550,40,0,0,1.0
551,39,1,0,0.975
552,40,0,0,1.0
553,40,0,0,1.0
554,32,8,0,0.8
555,0,40,1,1.0
556,40,0,0,1.0
557,0,40,1,1.0
558,0,40,1,1.0
559,40,0,0,1.0
560,40,0,0,1.0
561,0,40,1,1.0
562,0,40,1,1.0
563,0,40,1,1.0
564,40,0,0,1.0
565,0,40,1,1.0
566,0,40,1,1.0
567,3,37,1,0.925
568,31,9,0,0.775
569,40,0,0,1.0
570,39,1,0,0.975
571,0,40,1,1.0
572,26,14,0,0.65
573,0,40,1,1.0
574,0,40,1,1.0
575,0,40,1,1.0
576,40,0,0,1.0
577,0,40,1,1.0
578,40,0,0,1.0
579,11,29,1,0.725
580,40,0,0,1.0
581,0,40,1,1.0
582,0,40,1,1.0
583,40,0,0,1.0
584,0,40,1,1.0
585,0,40,1,1.0
586,40,0,0,1.0
587,31,9,0,0.775
588,40,0,0,1.0
589,40,0,0,1.0
590,40,0,0,1.0
591,0,40,1,1.0
592,1,39,1,0.975
593,40,0,0,1.0
594,0,40,1,1.0
595,0,40,1,1.0
596,40,0,0,1.0
597,28,12,0,0.7
598,40,0,0,1.0
599,0,40,1,1.0
600,0,40,1,1.0
601,4,36,1,0.9
602,15,25,1,0.625
603,0,40,1,1.0
604,40,0,0,1.0
605,40,0,0,1.0
606,40,0,0,1.0
607,22,18,0,0.55
608,0,40,1,1.0
609,10,30,1,0.75
610,40,0,0,1.0
611,1,39,1,0.975
612,40,0,0,1.0
613,40,0,0,1.0
614,0,40,1,1.0
615,0,40,1,1.0
616,40,0,0,1.0
617,0,40,1,1.0
618,0,40,1,1.0
619,7,33,1,0.825
620,9,31,1,0.775
621,40,0,0,1.0
622,40,0,0,1.0
623,40,0,0,1.0
624,40,0,0,1.0
625,40,0,0,1.0
626,0,40,1,1.0
627,40,0,0,1.0
628,0,40,1,1.0
629,0,40,1,1.0
630,40,0,0,1.0
631,40,0,0,1.0
632,0,40,1,1.0
633,40,0,0,1.0
634,40,0,0,1.0
635,0,40,1,1.0
636,11,29,1,0.725
637,0,40,1,1.0
638,0,40,1,1.0
639,0,40,1,1.0
640,0,40,1,1.0
641,0,40,1,1.0
642,40,0,0,1.0
643,40,0,0,1.0
644,0,40,1,1.0
645,8,32,1,0.8
646,0,40,1,1.0
647,0,40,1,1.0
648,0,40,1,1.0
649,1,39,1,0.975
650,0,40,1,1.0
651,0,40,1,1.0
652,0,40,1,1.0
653,0,40,1,1.0
654,40,0,0,1.0
655,0,40,1,1.0
656,0,40,1,1.0
657,40,0,0,1.0
658,0,40,1,1.0
659,40,0,0,1.0
660,40,0,0,1.0
661,0,40,1,1.0
662,0,40,1,1.0
663,0,40,1,1.0
664,0,40,1,1.0
665,0,40,1,1.0
666,35,5,0,0.875
667,40,0,0,1.0
668,0,40,1,1.0
669,40,0,0,1.0
670,23,17,0,0.575
671,0,40,1,1.0
672,1,39,1,0.975
673,40,0,0,1.0
674,40,0,0,1.0
675,0,40,1,1.0
676,40,0,0,1.0
677,0,40,1,1.0
678,40,0,0,1.0
679,16,24,1,0.6
680,2,38,1,0.95
681,24,16,0,0.6
682,40,0,0,1.0
683,40,0,0,1.0
684,0,40,1,1.0
685,36,4,0,0.9
686,1,39,1,0.975
687,0,40,1,1.0
688,0,40,1,1.0
689,40,0,0,1.0
690,0,40,1,1.0
691,37,3,0,0.925
692,35,5,0,0.875
693,40,0,0,1.0
694,0,40,1,1.0
695,11,29,1,0.725
696,40,0,0,1.0
697,0,40,1,1.0
698,24,16,0,0.6
699,0,40,1,1.0
700,0,40,1,1.0
701,1,39,1,0.975
702,0,40,1,1.0
703,0,40,1,1.0
704,39,1,0,0.975
705,38,2,0,0.95
706,22,18,0,0.55
707,0,40,1,1.0
708,0,40,1,1.0
709,0,40,1,1.0
710,4,36,1,0.9
711,0,40,1,1.0
712,0,40,1,1.0
713,0,40,1,1.0
714,40,0,0,1.0
715,40,0,0,1.0
716,39,1,0,0.975
717,3,37,1,0.925
718,26,14,0,0.65
719,0,40,1,1.0
720,4,36,1,0.9
721,0,40,1,1.0
722,40,0,0,1.0
723,40,0,0,1.0
724,40,0,0,1.0
725,40,0,0,1.0
726,0,40,1,1.0
727,0,40,1,1.0
728,40,0,0,1.0
729,38,2,0,0.95
730,0,40,1,1.0
731,39,1,0,0.975
732,37,3,0,0.925
733,0,40,1,1.0
734,4,36,1,0.9
735,20,20,equal,0.5
736,0,40,1,1.0
737,0,40,1,1.0
738,38,2,0,0.95
739,0,40,1,1.0
740,0,40,1,1.0
741,0,40,1,1.0
742,38,2,0,0.95
743,35,5,0,0.875
744,40,0,0,1.0
745,3,37,1,0.925
746,10,30,1,0.75
747,39,1,0,0.975
748,0,40,1,1.0
749,0,40,1,1.0
750,40,0,0,1.0
751,35,5,0,0.875
752,40,0,0,1.0
753,21,19,0,0.525
754,40,0,0,1.0
755,0,40,1,1.0
756,1,39,1,0.975
757,0,40,1,1.0
758,0,40,1,1.0
759,40,0,0,1.0
760,0,40,1,1.0
761,38,2,0,0.95
762,0,40,1,1.0
763,40,0,0,1.0
764,40,0,0,1.0
765,36,4,0,0.9
766,0,40,1,1.0
767,0,40,1,1.0
768,0,40,1,1.0
769,39,1,0,0.975
770,40,0,0,1.0
771,40,0,0,1.0
772,0,40,1,1.0
773,40,0,0,1.0
774,14,26,1,0.65
775,35,5,0,0.875
776,0,40,1,1.0
777,40,0,0,1.0
778,0,40,1,1.0
779,40,0,0,1.0
780,0,40,1,1.0
781,0,40,1,1.0
782,1,39,1,0.975
783,40,0,0,1.0
784,40,0,0,1.0
785,40,0,0,1.0
786,4,36,1,0.9
787,30,10,0,0.75
788,40,0,0,1.0
789,0,40,1,1.0
790,1,39,1,0.975
791,40,0,0,1.0
792,40,0,0,1.0
793,40,0,0,1.0
794,0,40,1,1.0
795,40,0,0,1.0
796,3,37,1,0.925
797,20,20,equal,0.5
798,40,0,0,1.0
799,40,0,0,1.0
800,40,0,0,1.0
801,0,40,1,1.0
802,0,40,1,1.0
803,0,40,1,1.0
804,0,40,1,1.0
805,1,39,1,0.975
806,40,0,0,1.0
807,0,40,1,1.0
808,40,0,0,1.0
809,10,30,1,0.75
810,40,0,0,1.0
811,0,40,1,1.0
812,40,0,0,1.0
813,40,0,0,1.0
814,0,40,1,1.0
815,0,40,1,1.0
816,0,40,1,1.0
817,0,40,1,1.0
818,40,0,0,1.0
819,39,1,0,0.975
820,0,40,1,1.0
821,40,0,0,1.0
822,40,0,0,1.0
823,39,1,0,0.975
824,0,40,1,1.0
825,40,0,0,1.0
826,1,39,1,0.975
827,0,40,1,1.0
828,0,40,1,1.0
829,3,37,1,0.925
830,40,0,0,1.0
831,40,0,0,1.0
832,37,3,0,0.925
833,40,0,0,1.0
834,40,0,0,1.0
835,39,1,0,0.975
836,40,0,0,1.0
837,40,0,0,1.0
838,40,0,0,1.0
839,0,40,1,1.0
840,3,37,1,0.925
841,0,40,1,1.0
842,3,37,1,0.925
843,22,18,0,0.55
844,40,0,0,1.0
845,17,23,1,0.575
846,0,40,1,1.0
847,0,40,1,1.0
848,40,0,0,1.0
849,40,0,0,1.0
850,3,37,1,0.925
851,0,40,1,1.0
852,40,0,0,1.0
853,3,37,1,0.925
854,40,0,0,1.0
855,35,5,0,0.875
856,40,0,0,1.0
857,40,0,0,1.0
858,39,1,0,0.975
859,0,40,1,1.0
860,0,40,1,1.0
861,0,40,1,1.0
862,0,40,1,1.0
863,6,34,1,0.85
864,40,0,0,1.0
865,0,40,1,1.0
866,40,0,0,1.0
867,0,40,1,1.0
868,39,1,0,0.975
869,37,3,0,0.925
870,40,0,0,1.0
871,40,0,0,1.0
872,0,40,1,1.0
873,0,40,1,1.0
874,0,40,1,1.0
875,40,0,0,1.0
876,40,0,0,1.0
877,0,40,1,1.0
878,0,40,1,1.0
879,0,40,1,1.0
880,31,9,0,0.775
881,16,24,1,0.6
882,13,27,1,0.675
883,1,39,1,0.975
884,40,0,0,1.0
885,40,0,0,1.0
886,40,0,0,1.0
887,40,0,0,1.0
888,40,0,0,1.0
889,29,11,0,0.725
890,40,0,0,1.0
891,0,40,1,1.0
892,40,0,0,1.0
893,0,40,1,1.0
894,0,40,1,1.0
895,0,40,1,1.0
896,40,0,0,1.0
897,14,26,1,0.65
898,0,40,1,1.0
899,7,33,1,0.825
900,38,2,0,0.95
901,0,40,1,1.0
902,0,40,1,1.0
903,0,40,1,1.0
904,38,2,0,0.95
905,0,40,1,1.0
906,2,38,1,0.95
907,2,38,1,0.95
908,1,39,1,0.975
909,40,0,0,1.0
910,40,0,0,1.0
911,0,40,1,1.0
912,40,0,0,1.0
913,5,35,1,0.875
914,40,0,0,1.0
915,1,39,1,0.975
916,27,13,0,0.675
917,0,40,1,1.0
918,5,35,1,0.875
919,39,1,0,0.975
920,0,40,1,1.0
921,0,40,1,1.0
922,28,12,0,0.7
923,0,40,1,1.0
924,40,0,0,1.0
925,0,40,1,1.0
926,40,0,0,1.0
927,39,1,0,0.975
928,18,22,1,0.55
929,0,40,1,1.0
930,4,36,1,0.9
931,0,40,1,1.0
932,40,0,0,1.0
933,0,40,1,1.0
934,37,3,0,0.925
935,40,0,0,1.0
936,0,40,1,1.0
937,5,35,1,0.875
938,40,0,0,1.0
939,40,0,0,1.0
940,0,40,1,1.0
941,40,0,0,1.0
942,39,1,0,0.975
943,0,40,1,1.0
944,0,40,1,1.0
945,40,0,0,1.0
946,26,14,0,0.65
947,40,0,0,1.0
948,0,40,1,1.0
949,38,2,0,0.95
950,0,40,1,1.0
951,0,40,1,1.0
952,0,40,1,1.0
953,40,0,0,1.0
954,0,40,1,1.0
955,13,27,1,0.675
956,0,40,1,1.0
957,0,40,1,1.0
958,40,0,0,1.0
959,0,40,1,1.0
960,0,40,1,1.0
961,40,0,0,1.0
962,40,0,0,1.0
963,40,0,0,1.0
964,0,40,1,1.0
965,0,40,1,1.0
966,10,30,1,0.75
967,40,0,0,1.0
968,40,0,0,1.0
969,0,40,1,1.0
970,40,0,0,1.0
971,40,0,0,1.0
972,40,0,0,1.0
973,0,40,1,1.0
974,2,38,1,0.95
975,34,6,0,0.85
976,0,40,1,1.0
977,40,0,0,1.0
978,40,0,0,1.0
979,40,0,0,1.0
980,40,0,0,1.0
981,39,1,0,0.975
982,0,40,1,1.0
983,40,0,0,1.0
984,0,40,1,1.0
985,40,0,0,1.0
986,0,40,1,1.0
987,40,0,0,1.0
988,11,29,1,0.725
989,0,40,1,1.0
990,0,40,1,1.0
991,0,40,1,1.0
992,0,40,1,1.0
993,40,0,0,1.0
994,40,0,0,1.0
995,0,40,1,1.0
996,40,0,0,1.0
997,40,0,0,1.0
998,40,0,0,1.0
999,0,40,1,1.0
1000,10,30,1,0.75
1001,0,40,1,1.0
1002,40,0,0,1.0
1003,39,1,0,0.975
1004,32,8,0,0.8
1005,39,1,0,0.975
