bit_position,zeros_count,ones_count,majority,stability
0,0,40,1,1.0
1,40,0,0,1.0
2,40,0,0,1.0
3,0,40,1,1.0
4,38,2,0,0.95
5,2,38,1,0.95
6,3,37,1,0.925
7,40,0,0,1.0
8,40,0,0,1.0
9,0,40,1,1.0
10,40,0,0,1.0
11,40,0,0,1.0
12,40,0,0,1.0
13,0,40,1,1.0
14,39,1,0,0.975
15,0,40,1,1.0
16,40,0,0,1.0
17,0,40,1,1.0
18,40,0,0,1.0
19,40,0,0,1.0
20,0,40,1,1.0
21,18,22,1,0.55
22,0,40,1,1.0
23,40,0,0,1.0
24,0,40,1,1.0
25,40,0,0,1.0
26,40,0,0,1.0
27,40,0,0,1.0
28,0,40,1,1.0
29,40,0,0,1.0
30,38,2,0,0.95
31,24,16,0,0.6
32,39,1,0,0.975
33,40,0,0,1.0
34,16,24,1,0.6
35,0,40,1,1.0
36,0,40,1,1.0
37,0,40,1,1.0
38,0,40,1,1.0
39,8,32,1,0.8
40,6,34,1,0.85
41,39,1,0,0.975
42,36,4,0,0.9
43,40,0,0,1.0
44,0,40,1,1.0
45,40,0,0,1.0
46,0,40,1,1.0
47,40,0,0,1.0
48,40,0,0,1.0
49,40,0,0,1.0
50,0,40,1,1.0
51,0,40,1,1.0
52,40,0,0,1.0
53,1,39,1,0.975
54,0,40,1,1.0
55,0,40,1,1.0
56,40,0,0,1.0
57,0,40,1,1.0
58,0,40,1,1.0
59,40,0,0,1.0
60,0,40,1,1.0
61,40,0,0,1.0
62,40,0,0,1.0
63,3,37,1,0.925
64,1,39,1,0.975
65,39,1,0,0.975
66,0,40,1,1.0
67,40,0,0,1.0
68,19,21,1,0.525
69,35,5,0,0.875
70,25,15,0,0.625
71,0,40,1,1.0
72,1,39,1,0.975
73,40,0,0,1.0
74,0,40,1,1.0
75,16,24,1,0.6
76,2,38,1,0.95
77,0,40,1,1.0
78,0,40,1,1.0
79,12,28,1,0.7
80,40,0,0,1.0
81,1,39,1,0.975
82,0,40,1,1.0
83,9,31,1,0.775
84,2,38,1,0.95
85,40,0,0,1.0
86,0,40,1,1.0
87,5,35,1,0.875
88,1,39,1,0.975
89,1,39,1,0.975
90,0,40,1,1.0
91,0,40,1,1.0
92,0,40,1,1.0
93,39,1,0,0.975
94,1,39,1,0.975
95,19,21,1,0.525
96,40,0,0,1.0
97,39,1,0,0.975
98,0,40,1,1.0
99,0,40,1,1.0
100,0,40,1,1.0
101,3,37,1,0.925
102,40,0,0,1.0
103,0,40,1,1.0
104,40,0,0,1.0
105,40,0,0,1.0
106,40,0,0,1.0
107,0,40,1,1.0
108,0,40,1,1.0
109,0,40,1,1.0
110,39,1,0,0.975
111,0,40,1,1.0
112,16,24,1,0.6
113,1,39,1,0.975
114,39,1,0,0.975
115,38,2,0,0.95
116,14,26,1,0.65
117,38,2,0,0.95
118,40,0,0,1.0
119,12,28,1,0.7
120,0,40,1,1.0
121,40,0,0,1.0
122,40,0,0,1.0
123,28,12,0,0.7
124,40,0,0,1.0
125,36,4,0,0.9
126,0,40,1,1.0
127,40,0,0,1.0
128,33,7,0,0.825
129,3,37,1,0.925
130,28,12,0,0.7
131,1,39,1,0.975
132,40,0,0,1.0
133,0,40,1,1.0
134,40,0,0,1.0
135,1,39,1,0.975
136,39,1,0,0.975
137,0,40,1,1.0
138,0,40,1,1.0
139,0,40,1,1.0
140,40,0,0,1.0
141,0,40,1,1.0
142,0,40,1,1.0
143,0,40,1,1.0
144,4,36,1,0.9
145,1,39,1,0.975
146,0,40,1,1.0
147,0,40,1,1.0
148,40,0,0,1.0
149,0,40,1,1.0
150,0,40,1,1.0
151,0,40,1,1.0
152,35,5,0,0.875
153,40,0,0,1.0
154,0,40,1,1.0
155,40,0,0,1.0
156,39,1,0,0.975
157,0,40,1,1.0
158,0,40,1,1.0
159,0,40,1,1.0
160,40,0,0,1.0
161,40,0,0,1.0
162,40,0,0,1.0
163,0,40,1,1.0
164,40,0,0,1.0
165,0,40,1,1.0
166,0,40,1,1.0
167,1,39,1,0.975
168,40,0,0,1.0
169,40,0,0,1.0
170,0,40,1,1.0
171,40,0,0,1.0
172,37,3,0,0.925
173,0,40,1,1.0
174,0,40,1,1.0
175,40,0,0,1.0
176,17,23,1,0.575
177,40,0,0,1.0
178,40,0,0,1.0
179,0,40,1,1.0
180,40,0,0,1.0
181,1,39,1,0.975
182,33,7,0,0.825
183,28,12,0,0.7
184,40,0,0,1.0
185,0,40,1,1.0
186,40,0,0,1.0
187,40,0,0,1.0
188,0,40,1,1.0
189,0,40,1,1.0
190,1,39,1,0.975
191,40,0,0,1.0
192,40,0,0,1.0
193,0,40,1,1.0
194,40,0,0,1.0
195,0,40,1,1.0
196,40,0,0,1.0
197,40,0,0,1.0
198,40,0,0,1.0
199,36,4,0,0.9
200,40,0,0,1.0
201,0,40,1,1.0
202,0,40,1,1.0
203,40,0,0,1.0
204,38,2,0,0.95
205,0,40,1,1.0
206,0,40,1,1.0
207,39,1,0,0.975
208,0,40,1,1.0
209,39,1,0,0.975
210,7,33,1,0.825
211,0,40,1,1.0
212,40,0,0,1.0
213,0,40,1,1.0
214,25,15,0,0.625
215,0,40,1,1.0
216,37,3,0,0.925
217,6,34,1,0.85
218,0,40,1,1.0
219,0,40,1,1.0
220,22,18,0,0.55
221,40,0,0,1.0
222,1,39,1,0.975
223,0,40,1,1.0
224,40,0,0,1.0
225,36,4,0,0.9
226,0,40,1,1.0
227,40,0,0,1.0
228,31,9,0,0.775
229,40,0,0,1.0
230,0,40,1,1.0
231,40,0,0,1.0
